,point_id,score,point,case,quoteDoc,quoteText
0,691,50,bad,This service reserves the right to disclose your personal information without notifying you,Privacy Policy,"we&nbsp;determine that the access, preservation, or&nbsp;disclosure of&nbsp;your Personal Data is&nbsp;required by&nbsp;law to&nbsp;protect the rights, property, or&nbsp;personal safety of&nbsp;Grammarly and users of&nbsp;our Site, Software, and/or Services, or&nbsp;to respond to lawful requests by public authorities, including national security or law enforcement requests"
1,1022,10,neutral,First-party cookies are used,Privacy Policy,"Through the use of cookies, we help deliver advertisements for relevant Grammarly products and services to you.
For more details on cookies, please see the “Does Grammarly use cookies?” section below.</p>"
2,1103,50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Privacy Policy,"Grammarly uses cookies and similar technologies, including tracking pixels and web beacons, to&nbsp;collect usage and analytic data that helps&nbsp;us provide our Site, Software, and/or Services to&nbsp;you, as well as to help deliver ads for relevant Grammarly products and services to&nbsp;you when you visit certain pages on&nbsp;the Site and then visit certain third-party sites"
3,8493,50,neutral,There is a date of the last update of the agreements,Terms of Service and License Agreement,"Terms of&nbsp;Service and License AgreementEffective as of October 2, 2020<p"
4,14402,15,neutral,This service is only available to users over a certain age,Terms of Service and License Agreement,"YOU CONFIRM THAT YOU ARE AT LEAST 18 YEARS OLD (OR IF YOU ARE BETWEEN 13 AND 17 YEARS OLD, INCLUSIVE, THAT YOU ARE USING THE SITE, SERVICES AND/OR SOFTWARE ONLY WITH THE APPROVAL OF YOUR PARENT OR GUARDIAN)"
5,14403,50,bad,You waive your right to a class action.,Terms of Service and License Agreement,"YOU WILL ONLY BE PERMITTED TO PURSUE CLAIMS AGAINST GRAMMARLY AND ITS LICENSORS AND ITS SUPPLIERS ON YOUR OWN BEHALF, NOT AS A PLAINTIFF OR CLASS MEMBER IN ANY CLASS OR REPRESENTATIVE ACTION OR PROCEEDING,"
6,14404,30,bad,Your use is throttled,Terms of Service and License Agreement,"YOU MAY NOT CHECK MORE THAN 300&nbsp;DOCUMENTS OR&nbsp;150,000&nbsp;WORDS IN&nbsp;ANY 30-DAY PERIOD OR&nbsp;100&nbsp;DOCUMENTS OR&nbsp;50,000&nbsp;WORDS IN&nbsp;ANY 24-HOUR PERIOD"
7,14405,20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Terms of Service and License Agreement,"<strong>k.</strong> automate access to&nbsp;the Site or&nbsp;the Services, including, without limitation, through the use of APIs, bots, scrapers or&nbsp;other similar devices;</p>"
8,14406,10,neutral,You cannot distribute or disclose your account to third parties,Terms of Service and License Agreement,"you may not:</p>
<p>
<strong>a.</strong> copy, modify or&nbsp;create derivative works based on&nbsp;the Site, Services, Software or&nbsp;Documentation, or&nbsp;any portion(s) of&nbsp;any of&nbsp;the foregoing (individually and collectively, “Grammarly&nbsp;IP”);</p>
<p>
<strong>b.</strong> distribute, transmit, publish or&nbsp;otherwise disseminate any Grammarly&nbsp;IP;</p>
<p>
<strong>c.</strong> download or&nbsp;store any Grammarly IP&nbsp;except to&nbsp;the extent explicitly permitted on&nbsp;the Site;</p>
<p>
<strong>d.</strong> transfer to&nbsp;any third party any of&nbsp;your rights under this Agreement (except to the extent that an Enterprise Subscriber may permit such number of Authorized Users as has been agreed between the Enterprise Subscriber and Grammarly to access and make use of the Site, Services and Software);</p>
<p>
<strong>e.</strong> access or use the Services, Software or Grammarly IP for the benefit of any third party (except to the extent that Authorized Users may access and make use of the Site, the Services and the Software solely for the internal business purposes of their Enterprise Subscriber);</p>"
9,14407,50,bad,Many third parties are involved in operating the service,Terms of Service and License Agreement,"For your convenience, Grammarly makes available a list of Third Party Components on its website at&nbsp;https://grammarly.com/terms/thirdpartynotices."
10,14408,10,neutral,You cannot distribute or disclose your account to third parties,Terms of Service and License Agreement,"You shall be&nbsp;solely responsible for the security and proper use of&nbsp;all user IDs, passwords or&nbsp;other security devices used in&nbsp;connection with the Site and/or the Services, and shall take all reasonable steps to&nbsp;ensure that they are kept confidential and secure, are used properly and are not disclosed to&nbsp;or&nbsp;used by&nbsp;any other person or&nbsp;entity."
11,14410,60,bad,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Terms of Service and License Agreement,"You shall indemnify, release and hold harmless Grammarly and its parents, subsidiaries, affiliates, licensors and suppliers, and each of&nbsp;their respective officers, directors, employees and agents, from and against any loss, liability (including settlements, judgments, fines and penalties) and costs (including reasonable attorney fees, court costs and other litigation expenses) relating to&nbsp;any claim or&nbsp;demand made by&nbsp;any third party due to&nbsp;or&nbsp;arising out of&nbsp;your access to&nbsp;the Site, use of&nbsp;the Services or&nbsp;Software,"
12,14411,50,bad,"If you offer suggestions to the service, they become the owner of the ideas that you give them",Terms of Service and License Agreement,"As between the you, Grammarly and, if applicable, your Enterprise Subscriber, all Feedback shall be exclusively owned by Grammarly, and you hereby make all assignments necessary to accomplish the foregoing ownership, and as a result Grammarly shall be freely entitled to reproduce, prepare derivative works, disclose to third parties, display and perform (publicly or otherwise), sell, lease, license, distribute and otherwise use and exploit any and all such Feedback as it deems appropriate, at its sole discretion, without obligation or liability of any kind to you, your Enterprise Subscriber (if applicable) or any other person or entity."
13,14412,50,neutral,This service assumes no responsibility and liability for the contents of links to other websites,Terms of Service and License Agreement,"Any links on&nbsp;the Site to&nbsp;third party websites are provided for your convenience only.
If&nbsp;you choose to&nbsp;access third party websites or&nbsp;obtain products or&nbsp;services from third parties, you do&nbsp;so&nbsp;entirely at&nbsp;your own risk and such access is&nbsp;between you and such third party.
Grammarly does not warrant or&nbsp;make any representation regarding the legality, accuracy or&nbsp;authenticity of&nbsp;content presented by&nbsp;such websites or&nbsp;any products or&nbsp;services offered by&nbsp;third parties and shall have no&nbsp;liability for any loss or&nbsp;damages arising from the access or&nbsp;use of&nbsp;such websites, products or&nbsp;services.</p>"
14,14413,10,neutral,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,Terms of Service and License Agreement,"If&nbsp;any one or&nbsp;more of&nbsp;the provisions of&nbsp;this Agreement are for any reason held to&nbsp;be&nbsp;invalid, illegal or&nbsp;unenforceable by&nbsp;a&nbsp;court of&nbsp;competent jurisdiction, the remaining provisions of&nbsp;this Agreement shall be&nbsp;unimpaired and shall remain in&nbsp;full force and effect, and the invalid, illegal or&nbsp;unenforceable provision(s) shall be&nbsp;replaced by&nbsp;a&nbsp;valid, legal and enforceable provision or&nbsp;provisions that comes closest to&nbsp;the intent of&nbsp;the parties underlying the invalid, illegal or&nbsp;unenforceable provision(s).</p>"
