,point_id,score,point,case,quoteDoc,quoteText
0,9254,0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Terms of Service,"We may modify the Terms at any time, at our sole discretion.
If we do so, we'll let you know either by posting the modified Terms on the Site or through other communications."
1,11657,25,good,Your personal data is not sold,Privacy Policy,We do not and will not sell your data to third parties.
2,11658,50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Privacy Policy,"<p>Information that we collect from users, including personal information, is considered a business asset.
Accordingly, if we go out of business or enter bankruptcy, or if we are acquired, e.g., as a result of a transaction such as a merger, acquisition, or asset sale, your personal information may be disclosed or transferred to the third-party acquirer in connection with the transaction."
3,11659,10,bad,Third-party cookies are used for statistics,Privacy Policy,"
Google Analytics provides us with the analysis of such data.
Google's privacy policy is available at http://www.google.com/policies/privacy.</p> Simply <p>Exception #1: We receive your website interaction information from Google for analytical purposes.</p> "
4,11660,0,neutral,Third parties are involved in operating the service,Privacy Policy,"For our cloud-based Software, we utilize Amazon Web Services for our infrastructure.
With such infrastructure, you are able to benefit from Amazon Web Services Cloud Compliance security and privacy measures,"
5,11661,40,good,You are informed about the risk of publishing personal info online,Privacy Policy,"You should be aware that any information you provide in these areas may be read, collected, and used by others who access them."
6,11662,70,bad,Third-party cookies are used for advertising,Privacy Policy,"<p>We partner with a third-party service provider to display advertising on our website or to manage our advertising on other sites.
Our third-party service provider may use cookies or similar technologies in order to provide you advertising based upon your browsing activities and interests"
7,11664,25,good,You can opt out of targeted advertising,Privacy Policy,If you wish to opt out of interest-based advertising click here [or if located in the European Union click here].
8,11665,10,good,You can opt out of promotional communications,Terms of Service,"In connection with your use of the Services, we may send you service announcements, administrative messages, and other information.
You may opt out of some of those communications.
</p>
"
9,17570,50,neutral,There is a date of the last update of the agreements,Terms of Service,"Last Updated: January 19, 2017"
10,17571,15,neutral,This service is only available to users over a certain age,Terms of Service,You may use the Services only if you are 18 years or older
11,17572,10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Terms of Service,"You agree that you won't disclose your Account password to anyone and that you will notify us immediately of any unauthorized use of your Account.
You are responsible for all activities that occur under your Account, whether or not you know about them.
</p>
<p>"
12,17573,50,good,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",Terms of Service,"Malwarebytes welcome feedback, comments and suggestions for improvements to the Services (""Feedback"").
You can submit Feedback by emailing Malwarebytes at policies@malwarebytes.com .
Any feedback you provide through the Services shall be deemed to be non-confidential.
Malwarebytes shall be free to use such information on an unrestricted basis without any obligation to you.
</p>
<p>"
13,17574,50,good,You maintain ownership of your content,Terms of Service,"Malwarebytes does not claim any ownership rights in your User Content and nothing in these Terms will be deemed to restrict any rights that you may have to use and exploit your User Content.
"
14,17575,15,good,Copyright license limited for the purposes of that same service but transferable and sublicenseable,Terms of Service,"By making any User Content available through Services you grant to Malwarebytes a non-exclusive, transferable, sublicenseable, worldwide, royalty-free license to use, copy, modify, create derivative works based upon, host, store, distribute, publicly display, and publicly perform your User Content in connection with operating and providing the Services and Content to you and to other users of the Services and to develop new Services."
15,17576,50,bad,A license is kept on user-generated content even after you close your account,Terms of Service,"This license continues even if you stop using our Services.
"
16,17577,20,neutral,"You agree not to submit libelous, harassing or threatening content",Terms of Service,"(iv) is defamatory, obscene, pornographic, vulgar or offensive.
"
17,17578,20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Terms of Service,"● Attempt to access or search the Services or Content or download Content from the Services through the use of any engine, software, tool, agent, device or mechanism (including spiders, robots, crawlers, data mining tools or the like) other than the software and/or search agents provided by Malwarebytes or other generally available third party web browsers."
18,17579,50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Terms of Service,"We reserve the right, but are not obligated, to remove or disable access to any Content, at any time and without notice, including, but not limited to, if we, at our sole discretion, consider any Content to be objectionable or in violation of these Terms.
"
19,17580,60,bad,Your account can be deleted without prior notice and without a reason,Terms of Service," We may terminate your access to and use of the Services, at our sole discretion, at any time and without notice to you."
20,17581,15,good,You have the right to leave this service at any time,Terms of Service,You can stop using our Services at any time.
