,point_id,score,point,case,quoteDoc,quoteText
0,1127,30,good,Details are provided about what kind of information they collect,Privacy Policy,"You give other data to us, such as by syncing your address book or calendar."
1,5882,10,neutral,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Terms of Service,Use your real name on your profile
2,5883,20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Terms of Service,"Develop, support or use software, devices, scripts, robots or any other means or processes (including crawlers, browser plugins and add-ons or any other technology) to scrape the Services or otherwise copy profiles and other data from the Services"
3,5888,50,good,You can delete your content from this service,Privacy Policy,"You can ask us to erase or delete all or some of your personal data (e.g., if it is no longer necessary to provide Services to you)."
4,5889,30,good,This service provides a way for you to export your data,Privacy Policy,"Members may go to their settings to make requests.
us for a copy of your personal data and can ask for a copy of personal data you provided in machine readable form.</li>"
5,5891,60,bad,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Do Not Track Policy,"With regard to DNT, LinkedIn currently doesn't respond to DNT signals in browsers because no DNT standard has been adopted, as noted above."
6,5894,50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Privacy Policy,"We can also share your personal data as part of a sale, merger or change in control, or in preparation for any of these events."
7,5918,50,bad,This service can use your content for all their existing and future services,Terms of Service,"A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish and process, information and content that you provide through our Services and the services of others, without any further consent, notice and/or compensation to you or others"
8,20607,50,neutral,There is a date of the last update of the agreements,Terms of Service,"<p>
<em>Effective on August 11, 2020</em>
"
9,20608,50,good,No need to register,Terms of Service,"
If you have chosen not to register for our Services, you may access certain features as a “Visitor.”</p>"
10,20609,15,neutral,This service is only available to users over a certain age,Terms of Service,The Services are not for use by anyone under the age of 16.</p>
11,20610,30,neutral,Alternative accounts are not allowed,Terms of Service,"(2) you will only have one LinkedIn account,"
12,20611,50,neutral,You authorise the service to charge a credit card supplied on re-occurring basis,Terms of Service,"If you purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period."
13,20612,0,good,You can choose with whom you share content,Terms of Service,"Where we have made settings available, we will honor the choices you make about who can see content or information (e.g., message content to your addressees, sharing content only to LinkedIn connections, restricting your profile visibility from search engines, or opting not to notify others of your LinkedIn profile update).
For job searching activities, we default to not notifying your connections network or the public.
So, if you apply for a job through our Service or opt to signal that you are interested in a job, our default is to share it only with the job poster.</p>
<p>"
14,20613,50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Terms of Service,We are not obligated to publish any information or content on our Service and can remove it with or without notice.</p>
15,20614,50,good,You maintain ownership of your content,Terms of Service,>You own all of the content
16,20615,50,good,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",Terms of Service, feedback and personal information you provide to us
17,20616,10,good,The service has non-exclusive use of your content,Terms of Service,"
the following non-exclusive license:</p>
<p>"
18,20617,90,blocker,Your identity is used in ads that are shown to other users,Terms of Service,"We will not include your content in advertisements for the products and services of third parties to others without your separate consent (including sponsored content).
However, we have the right, without payment to you or others, to serve ads near your content and information, and your <dfn>social actions</dfn>e.g.
likes, comments, follows, shares may be visible and included with ads, as noted in the Privacy Policy.
If you use a Service feature, we may mention that with your name or photo to promote that feature within our Services, subject to your settings.</li>"
19,20618,15,good,Copyright license limited for the purposes of that same service but transferable and sublicenseable,Terms of Service,"A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish and process, information and content that you provide through our Services and the services of others, without any further consent, notice and/or compensation to you or others."
20,20619,40,neutral,They may stop providing the service at any time,Terms of Service,"
<p>We may change, suspend or discontinue any of our Services."
21,20620,30,bad,Your use is throttled,Terms of Service,"We have the right to limit how you connect and interact on our Services.</p>
<p>LinkedIn reserves the right to limit your use of the Services, including the number of your connections and your ability to contact other Members."
