,point_id,score,point,case,quoteDoc,quoteText
0,5119,15,neutral,This service is only available to users over a certain age,Terms of Use,"Children Under the Age of 13
<p>
The Brainly Services and Brainly Subscriptions are not intended for children
under 13 years of age.
We do not knowingly collect or solicit personal
information from anyone under the age of 13 or knowingly allow such persons
to register.
If you believe that we might have any personal information from
or about a child under 13, please contact us at privacy@brainly.com"
1,5145,70,bad," Terms may be changed any time at their discretion, without notice to you ",Terms of Use,"We may revise these Terms of Use from time to time but the most current
version will always be at
https://brainly.com/pages/terms_of_use.
</p>
<p>
13.2 Changes will usually occur because of new features being added to the
Service, changes in the law or where we need to clarify our position on
something.
</p>
<p>
13.3 Normally, we will try to give you some warning before the new terms
become effective.
However, sometimes changes will need to be made
immediately and if this happens we will not give you any notice.
</p"
2,5147,50,bad,Your content can be distributed through any media known now or in the future,Terms of Use,"By posting Your Content on the Brainly Services you irrevocably grant
Brainly worldwide, non-exclusive, irrevocable, assignable and transferable
perpetual rights to use Your Content, including, for example, your name,
grade, school name or biographical information, for any purpose whatsoever,
including, for example, to create derivative works, use for advertising or
marketing, or repurpose in another medium.
</p"
3,5149,20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Terms of Use,"You agree not to use any automated tool, such as a web scraping tool, a bot
or web robot, or web automation, to mine the Brainly Services or any
products, services, information, or other materials available on, through or
in connection with the Brainly Services or your Brainly Subscription,
including, but not limited to, the Mobile Software, for information or to
fill out forms on the Brainly Services, that you will not circumvent any
technical measures implemented to prevent or limit such access, and that you
will comply with the restrictions in any robot exclusion header"
4,5153,0,neutral,The court of law governing the terms is in location X,Terms of Use,"These Terms will be governed by and construed in accordance with the laws of
the State of New York, excluding provisions of that would result in choice
of the law of another jurisdiction to govern these Terms"
5,5154,0,neutral,The service is transparent regarding government requests or inquiries that may involve your data.,Terms of Use,"Brainly reserves the right to view, monitor, and record activity on the
Brainly Services without notice or permission.
We may monitor use to
optimize the Brainly Services, understand what is of interest to visitors,
and otherwise to enhance the operation of the Brainly Services, assure its
availability, and prevent misuse of the Brainly Services.
Any information
obtained by monitoring, reviewing, or recording activity on the Brainly
Services is subject to review by us or on our behalf as well as by law
enforcement organizations in connection with investigation or prosecution of
possible criminal activity on the Brainly Services.
Brainly will comply with
all court orders involving requests for such information"
6,5155,60,bad,Your account can be deleted without prior notice and without a reason,Terms of Use,"p>
Brainly reserves the right, in its sole discretion, to immediately modify,
suspend or terminate your account, the Brainly Services, your Brainly
Subscription, and/or any products, services, functionality, information,
content or other materials available on, through or in connection with the
Brainly Services and/or your Brainly Subscription, including, but not
limited to, the Mobile Software, and/or your access to some or all of them
without cause and without notice.
In the event that Brainly suspends or
terminates your account, the Brainly Services or your Brainly Subscription,
you acknowledge and agree that you shall receive no refund or exchange for
any unused time on a Brainly Subscription or any subscription fees or
anything else.
</p"
7,5156,50,bad,You are forced into binding arbitration in case of disputes,Terms of Use,"THESE TERMS REQUIRE THE USE OF BINDING ARBITRATION ON AN INDIVIDUAL BASIS TO
RESOLVE ALL DISPUTES ARISING UNDER THEM, RATHER THAN JURY TRIALS OR CLASS
ACTIONS"
8,5158,40,bad,You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Terms of Use,"You agree to indemnify and hold each of Brainly, its subsidiaries,
affiliates, officers, directors, employees and independent contractors, and
any third parties providing content or services included in the Brainly
Services or your Brainly Subscription, harmless from any claim or demand
(including, but not limited to, reasonable legal fees) made by any third
party due to or arising out of your use of the Brainly Services or your
Brainly Subscription"
9,5159,20,neutral,The service is provided 'as is' and to be used at your sole risk,Terms of Use,"p>YOU UNDERSTAND AND EXPRESSLY AGREE THAT:</p>
<p>
YOUR USE OF THE BRAINLY SERVICES AND/OR ANY PRODUCTS, SERVICES,
FUNCTIONALITY, CONTENT, INFORMATION, OR OTHER MATERIALS AVAILABLE ON,
THROUGH OR IN CONNECTION WITH THE BRAINLY SERVICES OR YOUR BRAINLY
SUBSCRIPTION, INCLUDING, BUT NOT LIMITED TO, THE MOBILE SOFTWARE, IS AT YOUR
OWN RISK.
THE BRAINLY SERVICES AND ANY PRODUCTS, SERVICES, FUNCTIONALITY,
INFORMATION, CONTENT OR OTHER MATERIALS AVAILABLE ON OR THROUGH THE BRAINLY
SERVICES AND YOUR BRAINLY SUBSCRIPTION ARE PROVIDED ON AN “AS
IS” AND “AS AVAILABLE” BASIS"
10,5160,30,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Terms of Use,"BRAINLY MAKES NO WARRANTY THAT THE
BRAINLY SERVICES AND/OR ANY PRODUCTS, SERVICES, FUNCTIONALITY, INFORMATION,
CONTENT OR OTHER MATERIALS AVAILABLE ON, THROUGH OR IN CONNECTION WITH THE
BRAINLY SERVICES OR YOUR BRAINLY SUBSCRIPTION, INCLUDING, BUT NOT LIMITED
TO, THE MOBILE SOFTWARE, WILL MEET YOUR REQUIREMENTS, OR THAT THE BRAINLY
SERVICES OR BRAINLY SUBSCRIPTIONS WILL OPERATE UNINTERRUPTED OR IN A TIMELY,
SECURE, OR ERROR-FREE MANNER"
11,5161,10,neutral,The service does not guarantee accuracy or reliability of the information provided,Terms of Use,"OR AS TO THE ACCURACY OR COMPLETENESS OF ANY
INFORMATION OR CONTENT ACCESSIBLE FROM OR PROVIDED IN CONNECTION WITH THE
BRAINLY SERVICES OR BRAINLY SUBSCRIPTIONS, REGARDLESS OF WHETHER ANY
INFORMATION OR CONTENT IS MARKED AS “VERIFIED”.
</p"
12,5162,0,neutral,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,,
13,5163,50,neutral,The service has a no refund policy,Terms of Use,"If you choose to cancel, your cancellation will take effect at the end of
the subscription term in which you cancelled, and there are no refunds"
14,5164,0,neutral,Separate policies are employed for different parts of the service,Terms of Use,"We have two sets of terms and conditions: <strong>Part A</strong> sets out
the terms that apply to our users unless you are based in Europe and
<strong>Part B</strong> sets out the terms that apply to our users in
Europe.
</p>
<p>
It is important that you read and understand the terms that apply to you
when you use the Brainly Services before using the Brainly Services.
</p"
15,5165,10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Terms of Use,"you.
You understand and acknowledge that anyone
with knowledge of your User Credentials may gain access to any information,
including your Personal Information, you have stored in the
password-protected portion of the Brainly Services.
You agree to keep your
password secret, to notify us if your password is lost or compromised, and
to be solely responsible for the confidentiality and use of your User
Credentials"
16,5166,50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Terms of Use,"BRAINLY RESERVES THE RIGHT TO MODERATE THE BRAINLY SERVICES AND
TO REMOVE, SCREEN, OR EDIT YOUR CONTENT FROM THE BRAINLY SERVICES AT OUR
SOLE DISCRETION, AT ANY TIME, AND FOR ANY REASON OR FOR NO REASON, WITH NO
NOTICE TO YOU"
17,5169,25,neutral,This service is only available for use individually and non-commercially.,Terms of Use,"Registered Users have the right to use the
products, services and functionality provided by Brainly and the content and
information published on the Brainly Services only within their own needs,
for non-commercial purposes"
