,point_id,score,point,case,quoteDoc,quoteText
0,604,0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Privacy Policy,"We may update this Privacy Policy from time to time in our sole discretion.
If we make changes to this Privacy Policy, we will post the revised Privacy Policy on the Platform and update the “Last Amended” date below.
Please be sure to periodically check this page to ensure that you are aware of any changes to this Privacy Policy.
Any material changes to this Privacy Policy will be communicated to registered users by a notification to their account and/or by posting a notice of the change on the Website.
Your continued access to or use of the Platform after the effective date of such changes will be subject to the revised Privacy Policy.&lt;/p"
1,609,15,good,The terms for this service are easy to read,,
2,696,50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Privacy Policy,"Change of Control&lt;/strong&gt.
– We may also share your personal data as part of a sale, merger or change in control of SoundCloud, or in preparation for any of these events.
Any other entity that buys us or part of our business will have the right to continue to use your data, but only in the manner set out in this Privacy Policy unless you agree otherwise"
3,816,0,neutral,The court of law governing the terms is in location X,Terms of Service,"this Agreement is subject to the laws of the Federal Republic of Germany, excluding the UN Convention on Contracts for the International Sale of Goods (CISG) and excluding the principles of conflict of laws (international private law)"
4,1021,15,good,You have the right to leave this service at any time,Terms of Service,"ou may terminate this Agreement at any time by sending notice in writing to SoundCloud at Rheinsberger Str.
76/77, 10115 Berlin, Germany confirming such termination, by removing all of Your Content from your account, or by deleting your account and thereafter by ceasing to use the Platform."
5,6636,35,bad,This service gives your personal data to third parties involved in its operation,Privacy Policy,"We share the data collected about you, generally in hashed, aggregated, or de-identified forms with advertisers and advertising service providers and business partners in order to serve ads based on your interests and measure the reach and effectiveness of those ads, including whether a user took an action (e.g.
purchase a product).
"
6,6637,20,neutral,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Terms of Service,"that promotes or incites violence, terrorism, illegal acts, or hatred on the grounds of race, ethnicity, cultural identity, religious belief, disability, gender, identity or sexual orientation"
7,6639,15,neutral,The posting of pornographic content is prohibited,Terms of Service,", pornographic or obscene,"
8,6640,20,neutral,The service is provided 'as is' and to be used at your sole risk,Terms of Service,"THE PLATFORM, INCLUDING, WITHOUT LIMITATION, THE WEBSITE, THE APPS AND ALL CONTENT AND SERVICES ACCESSED THROUGH OR VIA THE WEBSITE, THE APPS, THE SERVICES OR OTHERWISE, ARE PROVIDED ""AS IS"", ""AS AVAILABLE"", AND ""WITH ALL FAULTS"
9,7578,15,neutral,This service is only available to users over a certain age,Terms of Service,"that you are either 18 years of age or more, or the applicable age of majority in your jurisdiction, or if you are under 18 years of age or the age of majority in your jurisdiction, you are 16 years of age or more if you reside in the European Union or 13 years of age or more if you reside in the United States or anywhere else.&lt;/p"
10,7581,30,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Terms of Service,"SOUNDCLOUD DOES NOT WARRANT THAT YOUR USE OF THE PLATFORM WILL BE UNINTERRUPTED, TIMELY, SECURE OR ERROR-FREE,"
11,7582,50,bad,The service does not guarantee that software errors will be corrected,Terms of Service,"THAT DEFECTS WILL BE CORRECTED,"
12,7583,50,neutral,There is a date of the last update of the agreements,Terms of Service,"Last Amended:&lt;/strong&gt.
25 May 2018&lt;/p"
13,7584,50,good,Archives of their agreements are provided so that changes can be viewed over time,Terms of Service,You will find a link to prior versions of our Terms of Use below.
14,9967,10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Terms of Service,"p&gt;You are solely responsible for maintaining the confidentiality and security of your username and password, and you will remain responsible for all use of your username and password, and all activity emanating from your account, whether or not such activity was authorized by you.&lt;/p"
15,10285,25,bad,You shall not interfere with another person's enjoyment of the service,Terms of Service,or which does or might restrict or inhibit any other user's use and enjoyment of the Platform.
16,11099,20,bad,Usernames can be rejected or changed for any reason,Terms of Service,"We reserve the right to disallow, cancel, remove or reassign certain usernames"
17,11102,25,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Terms of Service,"any unsolicited or unauthorized advertising, promotional messages, spam or any other form of solicitation."
18,14108,50,blocker,Your browsing history can be viewed by the service,Privacy Policy,"Internet or other network activity information, including browsing and search history"
