,point_id,score,point,case,quoteDoc,quoteText
0,23234,0,neutral,"Your IP address is collected, which can be used to view your approximate location",Privacy Policy,"Like most online service providers, we collect information that web browsers, mobile devices, and servers typically make available, including the browser type, IP address, unique device identifiers, language preference, referring site, the date and time of access, operating system, and mobile network information."
1,23235,45,bad,This service receives your precise location through GPS coordinates,Privacy Policy,"We may determine the approximate location of your device from your IP address.
We collect and use this information to, for example, calculate how many people visit our Services from certain geographic regions.
We may also collect information about your precise location via our mobile apps (like when you post a photograph with location information) if you allow us to do so through your mobile device operating system’s permissions."
2,23236,50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Privacy Policy,"Automattic uses cookies and other technologies like pixel tags to help us identify and track visitors, usage, and access preferences for our Services, as well as track and understand email campaign effectiveness and to deliver targeted ads."
3,23288,15,neutral,This service is only available to users over a certain age,Terms of Service,"Our Services are not directed to children.
You’re not allowed to access or use our Services if you’re under the age of 13 (or 16 in Europe).
If you register as a user or otherwise use our Services, you represent that you’re at least 13 (or 16 in Europe).
You may use our Services only if you can legally form a binding contract with us.
In other words, if you’re under 18 years of age (or the legal age of majority where you live), you can only use our Services under the supervision of a parent or legal guardian who agrees to the Agreement.</p>"
4,23289,10,good,You can opt out of promotional communications,Terms of Service,"When you create a WordPress.com account, we consider that to be an inquiry about our products and services, which means that we may also contact you to share more details about what we have to offer (i.e., marketing).
Don’t worry — if you aren’t interested, you can opt out of the marketing communications, whether it’s an email, phone call, or text message.<"
5,23290,100,blocker,They store data on you even if you did not interact with the service,Privacy Policy,"Third-party services may also give us information, like mailing addresses for individuals who are not yet our users (but we hope will be!)."
6,23291,35,neutral,This service does not condone any ideas contained in its user-generated contents,Terms of Service,"We don’t endorse any Content or represent that Content is accurate, useful, or not harmful."
7,23292,0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Terms of Service,"We’ll let you know when there are changes: we’ll post them here and update the “Last Updated” date, and we may also post on one of our blogs or send you an email or other communication before the changes become effective."
8,23293,60,bad,Your account can be deleted without prior notice and without a reason,Terms of Service,"<p>We may terminate your access to all or any part of our Services at any time, with or without cause, with or without notice, effective immediately."
9,23294,20,neutral,The service is provided 'as is' and to be used at your sole risk,Terms of Service,"Our Services are provided “as is.” Automattic and its suppliers and licensors hereby disclaim all warranties of any kind, express or implied, including, without limitation, the warranties of merchantability, fitness for a particular purpose and non-infringement.
Neither Automattic, nor its suppliers and licensors, makes any warranty that our Services will be error free or that access thereto will be continuous or uninterrupted."
10,23295,50,neutral,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Terms of Service,"You understand that you download from, or otherwise obtain content or services through, our Services at your own discretion and risk.</p>"
11,23296,50,good,Archives of their agreements are provided so that changes can be viewed over time,Terms of Service,Change log
12,23297,60,bad,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Privacy Policy,"At this time, Automattic does not respond to “do not track” signals across all of our Services."
13,23298,50,neutral,Blocking first party cookies may limit your ability to use the service,Cookie Policy,"If you disable cookies, please be aware that some of the features of our service may not function correctly.</p>"
14,23299,30,good,Information is provided about how your personal data is used,Privacy Policy,How and Why We Use Information
15,23300,50,good,Information is provided about how they collect personal data,Privacy Policy,Information We Collect
16,23301,50,good,The data retention period is kept to the minimum necessary for fulfilling its purposes,Privacy Policy,We generally discard information about you when it’s no longer needed for the purposes for which we collect and use it — described in the section above on How and Why We Use Information — and we’re not legally required to keep it.
17,23302,80,good,Logs are deleted after a finite period of time,Privacy Policy,"
<p>For example, we keep web server logs that record information about a visitor to one of Automattic’s websites, like the visitor’s IP address, browser type, and operating system, for approximately 30 days."
18,23303,30,blocker,This service holds onto content that you've deleted,Privacy Policy,"After the thirty days are up, the deleted content may remain on our backups and caches until purged."
