,point_id,score,point,case,quoteDoc,quoteText
0,5758,15,good,The terms for this service are easy to read,Privacy Policy,"To make this Privacy Policy easier to understand, we have provided summaries in these gray boxes.
These summaries are not part of the official policy.
Even though we have provided summaries, it is important for you to read the entire policy carefully.
"
1,5760,50,neutral,There is a date of the last update of the agreements,Privacy Policy,"Privacy Policy Notice <p>
<em>Effective:</em> June 12, 2020<br> (<em>view previous versions:</em> 5/25/18, 3/28/17, 3/29/16, 5/23/10)</p"
2,5761,30,good,You are entitled to a refund if certain thresholds or standards are not met by the service,Privacy Policy,"To provide you with a refund, if entitled;</li"
3,5762,50,good,Information is provided about how they collect personal data,Privacy Policy,"Log Information</b>: We collect log information about your use of the Platform, including the type of browser that you use.
the time, duration, and frequency of your access.
Platform pages viewed.
your IP address.
and the page you visited before visiting our Platform.</li>
<li>
<b>Device Information</b>: We collect information about the computer or mobile device that you use to access our Platform, including the hardware model, operating system and version, unique device identifiers, and mobile network information.</li>
<li"
4,6420,50,neutral,You authorise the service to charge a credit card supplied on re-occurring basis,Terms of Service,"We charge for certain aspects of our Platform, and some of these fees are billed on a regular and recurring basis (unless you disable auto-renewal or cancel your subscription).</li>
</ul>"
5,6421,15,neutral,This service is only available to users over a certain age,Terms of Service,"Our Platform is available to anyone who is at least 18 years old.
You represent that you are at least 18.
"
6,6422,50,good,You maintain ownership of your content,Terms of Service,"Your Content is also subject to our&nbsp;Intellectual Property Dispute Policies.</li>
<li>We do not own the Content that you post.
However, we do require that&nbsp;you provide us a license&nbsp;to use this Content in order for us to operate, improve, promote, and protect Meetup and our Platform for the benefit of you and others.</li>
<li"
7,6428,50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Cookie Policy,"In addition to the uses of cookies described above, these entities may use other methods, such as the technologies described below, to collect information about your use of the Platform and other websites and online services.</p>
<p>Pixels tags.&nbsp;Pixel tags (which are also called clear GIFs, web beacons, or pixels), are small pieces of code that can be embedded on websites and emails.
Pixels tags may be used to learn how you interact with our site pages and emails, and this information helps us and our partners provide you with a more tailored experience.</p>
<p>Device Identifiers.&nbsp;A device identifier is a unique label can be used to identify a mobile device.
Device identifiers may be used to track, analyze and improve the performance of the Platform and ads delivered.</p>
<p"
8,7442,15,good,The terms for this service are easy to read,Terms of Service,"To make it easier to understand, we have provided summaries and tips in these gray boxes.
These summaries are not part of the official terms, and it is important for you to read the language in each section carefully."
9,7443,60,bad,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Terms of Service,"you agree to indemnify, defend and hold all Meetup Parties harmless from any Claims, made by any third party due to or arising out of (a) your violations of this Agreement, (b) your use, misuse, or abuse of our Platform, (c) your Content, (d) your violation of any law, statute, ordinance or regulation or the rights of a third party, or (e) your participation or conduct in a Meetup group or a Meetup event that violates this Agreement"
10,19378,10,bad,Third-party cookies are used for statistics,Cookie Policy,"
We may also use other services, such as&nbsp;Google Analytics&nbsp;or other third-party cookies, to assist with analyzing performance on our Platform."
