,point_id,score,point,case,quoteDoc,quoteText
0,21103,15,neutral,This service is only available to users over a certain age,Terms Of Service,"You must be 13 years or older to use the Services.
Any fraudulent, abusive, or otherwise illegal activity may be grounds for termination of your account, at our sole discretion, and we may refer you to appropriate law enforcement agencies."
1,21104,20,neutral,The service is provided 'as is' and to be used at your sole risk,Terms Of Service,"THE SERVICES ARE PROVIDED “AS IS.” WE DO NOT WARRANT THAT THE SERVICES WILL BE UNINTERRUPTED OR ERROR-FREE.
THERE MAY BE DELAYS, OMISSIONS, INTERRUPTIONS, AND INACCURACIES IN THE NEWS, INFORMATION, OR OTHER MATERIALS AVAILABLE THROUGH THE SERVICES."
2,21105,20,good,The service claims to be CCPA compliant for California users,Privacy Policy,"The following information applies to California residents regarding “personal information” (as defined in the California Consumer Privacy Act (“CCPA”)).
This information and the rights discussed below do not apply to information collected from or about our employees, former employees, candidates, contractors, service providers, or business contacts."
3,21106,20,good,The service claims to be GDPR compliant for European users,Privacy Policy,"If you are a user in the EEA or Switzerland, the following information applies with respect to personal data collected through your use of our Services.
Under applicable law, The Washington Post is considered the “data controller” of the personal information we handle under this Policy.
In other words, The Washington Post is responsible for deciding how to collect, use and disclose this information, subject to applicable law.
Our contact information appears at the end of this Policy.</p>
<p>"
4,21204,50,neutral,There is a date of the last update of the agreements,Terms Of Service,"<p>Published: July 1, 2014.
"
5,21212,40,bad,You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Terms Of Service,"You agree to indemnify and hold harmless The Washington Post and its parent, subsidiaries, and affiliates, and their owners, directors, officers, managers, employees, shareholders, agents, and licensors, from and against all losses, expenses, damages and costs, including reasonable attorneys’ fees, resulting from any violation of the Terms, including the Discussion and Submission Guidelines, or the failure to fulfill any obligations relating to your account incurred by you or any other person using your account.
We reserve the right to take over the exclusive defense of any claim for which we are entitled to indemnification under this Section.
In such event, you shall provide us with such cooperation as is reasonably requested by us."
6,21377,50,neutral,Blocking first party cookies may limit your ability to use the service,Privacy Policy,"If you disable browser cookies or flash cookies, it may interfere with the proper functioning of the Services."
7,21436,30,good,Details are provided about what kind of information they collect,Privacy Policy, Information We Collect </p>
8,21437,30,good,Information is provided about how your personal data is used,Privacy Policy,<p> How We Use Information
9,21438,50,bad,Extra data may be collected about you through promotions,Privacy Policy,"if you order products from us or if you participate in a contest, promotion or survey, we may ask for"
10,21439,70,bad,Many different types of personal data are collected,Privacy Policy,"<br>- Contact information such as your name, e-mail address, street address<br> - Demographic information such as year of birth, gender, street address,<br> - Professional Information such as job title and industry and related information.<br> - Payment information, such as your credit card number and expiration date, where appropriate to process a financial transaction you have requested.</li>
<li>User-Generated Content: such as when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services, when you enter a contest or participate in a promotion, when you post an online ad, or otherwise engage with the Services.
Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.</li>
</ul>
<p>
<b>Automatically Collected Information.&nbsp;</b>In addition to the information you provide to us directly"
11,21440,50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Privacy Policy,"
As discussed further below, we and our service providers (which are third party companies that work on our behalf), may use of cookies, web beacons, and other technologies, as detailed in the &nbsp;<b>Online Tracking and Advertising</b>&nbsp.
section below, to assist in collecting this information.</p>
<p>For example, we may collect:</p>
<ul>
<li>
<i>Device information</i>— such as your hardware model, IP address, other unique device identifiers"
12,21441,0,neutral,"Your IP address is collected, which can be used to view your approximate location",Privacy Policy,"Location information</i>— such as your computer’s IP address, "
13,21442,50,bad,Information is gathered about you through third parties,Privacy Policy,"
<b>Information From Third-Party Sources.&nbsp;</b>We may receive information about you from publicly and commercially available sources, as permitted by law, which we may combine with other information we receive from or about you."
14,21443,50,bad,Your personal data may be used for marketing purposes,Privacy Policy,"We may periodically contact you with offers and information about the Services and our affiliates, including in connection with your accounts, online surveys, legal notices, news stories, new features that you are entitled to access, and other important information."
15,21444,10,good,You can opt out of promotional communications,Privacy Policy,You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.</p>
16,21445,40,bad,Your personal data is used to employ targeted third-party advertising,Privacy Policy,"</b>We may use your information to facilitate the delivery of targeted ads, promotions, and offers to you, on behalf of ourselves and advertisers, on and off the Services."
17,21446,40,bad,Your personal information is used for many different purposes,Privacy Policy,How We Use Information
18,21447,35,bad,This service gives your personal data to third parties involved in its operation,Privacy Policy,"We may share information within our family of affiliated companies.</p>
<p>
<b>Business Partners.</b> We may also share your information with business partners to provide you with services that you request."
19,21448,70,bad,This service shares your personal data with third parties that are not essential to its operation,Privacy Policy,"We may share the information we collect with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers.
"
20,21449,50,bad,This service reserves the right to disclose your personal information without notifying you,Privacy Policy,"</b>We may share your personal information as we believe is necessary or appropriate to protect, enforce, or defend the legal rights, privacy, safety, or property of the Services, our employees or agents or users or to comply with applicable law or legal process, including responding to requests from public and government authorities.</p>"
21,21450,50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Privacy Policy,"We reserve the right to transfer any information we have about you in the event that we sell or transfer all or a portion of our business or assets to a third party, such as in the event of a merger, acquisition, or in connection with a bankruptcy reorganization.
"
22,21451,45,bad,This service receives your precise location through GPS coordinates,Privacy Policy,"your mobile device’s GPS signal or information about nearby WiFi access points and cell towers that may be transmitted to us when you use certain Services.</li>
</ul>
<p>"
23,21452,50,bad,Your profile is combined across various products,Privacy Policy,"This information may be combined with information collected across different websites, online services, and other linked or associated devices."
24,21453,60,bad,Your Personal data may be sold unless you opt out,Privacy Policy,"We may share the following categories of information for such advertising with advertising networks and providers, certain analytics providers, and social media networks, which may be considered a sale (as defined by California law)</p>
<ul>
<li>device information and identifiers, such as IP address, and unique advertising identifiers and cookies.
usage information, such as browsing history or app usage.
location information, such as city.
and inference data.</li>
</ul>
<p>If you are a California resident and would like to opt out of our use of your information for such purposes (to the extent this is considered a sale), you may do so as outlined on the following page: Do Not Sell My Personal Information."
25,21454,20,good,This Service provides a list of Third Parties involved in its operation.,Privacy Policy,"
<b>For users in the EEA and Switzerland</b>: Please see our Third-Party Partners page for a list of partners that provide certain features or functionality on the Services (<i>e.g.</i>, content, analytics, advertising, and social media plug-ins) that may use your data, as well as more information about these partners’ use of your data and your rights."
26,21455,10,neutral,The service informs you that its privacy policy does not apply to third party websites,Privacy Policy,This Privacy Policy does not govern these third party’s content or services
27,21456,25,good,You can opt out of targeted advertising,Privacy Policy,"Targeted Advertising.</b> You may choose whether to receive some forms of targeted advertising from many ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance"
28,21457,10,bad,Third-party cookies are used for statistics,Privacy Policy,Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages.
29,21461,60,bad,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Privacy Policy,"</b>Some web browsers may transmit “do-not-track” signals to the websites with which the user communicates.
Because of differences in how web browsers incorporate and activate this feature, it is not always clear whether users intend for these signals to be transmitted, or whether they even are aware of them.
Because there currently is no industry standard concerning what, if anything, websites should do when they receive such signals, the Services currently do not take action in response to these signals.
"
30,21462,70,bad,Third-party cookies are used for advertising,Privacy Policy,"
<p>We, our service providers, and third parties that provide content, advertising, or functionality or measure and analyze ad performance on our Services, may use cookies, web beacons, mobile ad identifiers, and similar technologies to facilitate administration and navigation on the Site, to better understand and improve our Services, to determine and/or improve the advertising shown to you here or elsewhere"
31,21464,5,bad,Tracking pixels are used in service-to-user communication,Privacy Policy," We, along with third parties, also may use technologies called beacons (or “pixels”) that communicate information from your device to a server.
Beacons can be embedded in online content, videos, and emails,"
32,21465,50,bad,A license is kept on user-generated content even after you close your account,Terms Of Service,"Specifically, you provide us with a royalty-free, irrevocable, perpetual"
33,21466,50,bad,Your content can be licensed to third parties,Terms Of Service,fully sublicensable license
34,21468,50,bad,Your content can be distributed through any media known now or in the future,Terms Of Service,"to use, reproduce, modify, adapt, publish, translate, create derivative works from, incorporate into other works, distribute, perform, display, and otherwise exploit such content, in whole or in part in any form, media or technology now known or later developed.</p>
<p>"
35,21469,10,neutral,Instructions are provided on how to submit a copyright claim,Terms Of Service,"
If you believe in good faith that your copyrighted work has been reproduced on our site without authorization in a way that constitutes copyright infringement, you may notify our designated copyright agent either by mail to Copyright Agent, c/o Legal Department, The Washington Post, 1301 K Street NW, Washington, DC 20071 or to copyrightagent@washpost.com."
36,21470,20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Terms Of Service,"Engage in unauthorized “scraping” or spidering,"
37,21471,10,neutral,You cannot distribute or disclose your account to third parties,Terms Of Service,"You are not allowed to share or disclose your login credentials with any other user or person.
"
38,21472,10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Terms Of Service,"
<p>You will be responsible for all usage and activity on your account, including use of the account by any third party authorized by you to use your login credentials, and for all charges for any goods or services.
You are also responsible for all statements made or materials posted under your account, including liability for harm caused by such statements or materials."
39,21473,10,neutral,The service does not guarantee accuracy or reliability of the information provided,Terms Of Service,"(D) WARRANTIES RELATING TO THE ACCURACY, RELIABILITY, CORRECTNESS, TIMELINESS OR COMPLETENESS OF DATA MADE AVAILABLE ON THE SERVICES OR OTHERWISE BY THE WASHINGTON POST, INCLUDING ANY ADVICE, OPINION, STATEMENT, OR OTHER MATERIAL OR DATABASE DISPLAYED"
40,21474,30,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Terms Of Service,"A) THAT THE INFORMATION PROVIDED THROUGH THE SERVICES WILL BE FREE FROM ERROR, OMISSION, INTERRUPTION, DEFECT, OR DELAY IN OPERATION, OR FROM TECHNICAL INACCURACIES OR TYPOGRAPHICAL ERRORS, "
41,21475,50,bad,The service does not guarantee that software errors will be corrected,Terms Of Service,(C) THAT DEFECTS OR ERRORS IN THE SERVICES WILL BE CORRECTED
42,21476,50,bad,This service assumes no liability for any losses or damages resulting from any matter relating to the service,Terms Of Service,"IN NO EVENT WILL THE WASHINGTON POST OR ITS AFFILIATES OR ANY PARTY INVOLVED IN CREATING, PRODUCING, OR DELIVERING THE SERVICES BE LIABLE FOR ANY DIRECT, INCIDENTAL, CONSEQUENTIAL, INDIRECT, SPECIAL, OR PUNITIVE DAMAGES ARISING OUT OF YOUR ACCESS, USE, MISUSE, OR INABILITY TO USE THE SERVICES OR ANY LINKED SITES, OR IN CONNECTION WITH ANY FAILURE OF PERFORMANCE, ERROR, TRANSMISSION, COMPUTER VIRUS, OR LINE OR SYSTEM FAILURE.
"
43,21478,60,bad,Your account can be deleted without prior notice and without a reason,Terms Of Service,"The Washington Post may terminate this agreement for any reason at any time.
The Washington Post reserves the right, in its sole discretion, to restrict, suspend, or terminate your access to and use of the Service, with or without prior notice."
